ID,Item (filename),Book / collection,Path in corpus.zip,Format,Size (KB),Rights-holder,License,Rights status,Chunk-ready?,Chunk note,Notes
INV-001,BOOK3_COMPLETE_OUTLINE_V2.md,Book 3 (outline),corpus/INW/BOOK3_COMPLETE_OUTLINE_V2.md,MD,58.6,FFP,none,Owner,Yes,Text — chunk directly,
INV-002,BOOK4_OUTLINE_V2.md,Book 4 (outline),corpus/INW/BOOK4_OUTLINE_V2.md,MD,43.1,FFP,none,Owner,Yes,Text — chunk directly,
INV-003,ch01_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch01_v5.1.md,MD,42.1,FFP,none,Owner,Yes,Text — chunk directly,
INV-004,ch02_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch02_v5.1.md,MD,56.8,FFP,none,Owner,Yes,Text — chunk directly,
INV-005,ch03_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch03_v5.1.md,MD,46.7,FFP,none,Owner,Yes,Text — chunk directly,
INV-006,ch04_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch04_v5.1.md,MD,64.5,FFP,none,Owner,Yes,Text — chunk directly,
INV-007,ch05_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch05_v5.1.md,MD,46,FFP,none,Owner,Yes,Text — chunk directly,
INV-008,ch06_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch06_v5.1.md,MD,52.7,FFP,none,Owner,Yes,Text — chunk directly,
INV-009,ch07_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch07_v5.1.md,MD,35.8,FFP,none,Owner,Yes,Text — chunk directly,
INV-010,ch08_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch08_v5.1.md,MD,35.9,FFP,none,Owner,Yes,Text — chunk directly,
INV-011,ch09_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch09_v5.1.md,MD,36.8,FFP,none,Owner,Yes,Text — chunk directly,
INV-012,ch10_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch10_v5.1.md,MD,32.6,FFP,none,Owner,Yes,Text — chunk directly,
INV-013,ch11_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch11_v5.1.md,MD,48.4,FFP,none,Owner,Yes,Text — chunk directly,
INV-014,ch12_v5.1.md,Book 1 (chapters),corpus/INW/book1/ch12_v5.1.md,MD,41,FFP,none,Owner,Yes,Text — chunk directly,
INV-015,explore_online_v5.1.md,Book 1 (chapters),corpus/INW/book1/explore_online_v5.1.md,MD,1.5,FFP,none,Owner,Yes,Text — chunk directly,Short 'explore online' appendix (1.5 KB)
INV-016,ch01_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch01_v3.5.md,MD,21.3,FFP,none,Owner,Yes,Text — chunk directly,
INV-017,ch02_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch02_v3.5.md,MD,20.3,FFP,none,Owner,Yes,Text — chunk directly,
INV-018,ch03_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch03_v3.5.md,MD,22.6,FFP,none,Owner,Yes,Text — chunk directly,
INV-019,ch04_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch04_v3.5.md,MD,25.2,FFP,none,Owner,Yes,Text — chunk directly,
INV-020,ch06_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch06_v3.5.md,MD,18.1,FFP,none,Owner,Yes,Text — chunk directly,
INV-021,ch07_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch07_v3.5.md,MD,15.1,FFP,none,Owner,Yes,Text — chunk directly,
INV-022,ch09_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch09_v3.5.md,MD,15.6,FFP,none,Owner,Yes,Text — chunk directly,
INV-023,ch10_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch10_v3.5.md,MD,15.2,FFP,none,Owner,Yes,Text — chunk directly,
INV-024,ch11_v3.5.md,Book 2 (chapters),corpus/INW/book2/ch11_v3.5.md,MD,13,FFP,none,Owner,Yes,Text — chunk directly,
