"PL-ID","Status","Score","Seed-EX","Source","Difficulty","Flags"
"PL-048","needs-mentor","6","EX-153","corpus/inw/book2/ch02_v3.5.md","3","credit-close;grounding-partial"
"PL-019","needs-mentor","7","EX-059","corpus/inw/book1/ch11_v5.1.md","3","student-articulation(10w);grounding-partial"
"PL-039","needs-mentor","7","EX-116","corpus/inw/book2/ch05_v3.5.md","2","credit-close;grounding-partial"
"PL-043","needs-mentor","7","EX-124","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","student-articulation(9w);grounding-partial"
"PL-052","needs-mentor","7","EX-162","corpus/inw/book2/ch07_v3.5.md","3","credit-close;grounding-partial"
"PL-053","needs-mentor","7","EX-166","corpus/inw/book2/ch10_v3.5.md","3","credit-close;grounding-partial"
"PL-058","needs-mentor","7","EX-211","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3","credit-close;grounding-partial"
"PL-070","needs-mentor","7","EX-029","corpus/inw/book1/ch05_v5.1.md","3","credit-close;student-articulation(11w)"
"PL-004","auto-validated","8","EX-007","corpus/inw/book1/ch01_v5.1.md","2","grounding-partial"
"PL-005","auto-validated","8","EX-011","corpus/inw/book1/ch02_v5.1.md","2","grounding-partial"
"PL-020","auto-validated","8","EX-060","corpus/inw/book1/ch11_v5.1.md","2","student-articulation(11w);grounding-partial"
"PL-024","auto-validated","8","EX-069","corpus/inw/book2/ch03_v3.5.md","3","grounding-partial"
"PL-035","auto-validated","8","EX-100","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","grounding-partial"
"PL-036","auto-validated","8","EX-105","data/sankhya-text/sankhya_modern_physics_bridge_v2.8.txt","3","grounding-partial"
"PL-041","auto-validated","8","EX-119","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3","grounding-partial"
"PL-044","auto-validated","8","EX-125","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","grounding-partial"
"PL-045","auto-validated","8","EX-127","corpus/inw/book1/ch05_v5.1.md","2","student-articulation(10w);grounding-partial"
"PL-055","auto-validated","8","EX-175","corpus/inw/book2/ch01_v3.5.md","2","grounding-partial"
"PL-056","auto-validated","8","EX-191","corpus/inw/book1/ch01_v5.1.md","3","grounding-partial"
"PL-057","auto-validated","8","EX-201","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3","grounding-partial"
"PL-060","auto-validated","8","EX-222","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5","grounding-partial"
"PL-072","auto-validated","8","EX-030","corpus/inw/book1/ch05_v5.1.md","3","credit-close"
"PL-073","auto-validated","8","EX-032","corpus/inw/book1/ch06_v5.1.md","2","credit-close"
"PL-074","auto-validated","8","EX-032","corpus/inw/book1/ch06_v5.1.md","4","credit-close"
"PL-188","auto-validated","8","EX-063","corpus/inw/book1/ch12_v5.1.md","1","credit-close"
"PL-189","auto-validated","8","EX-066","corpus/inw/book2/ch01_v3.5.md","1","credit-close"
"PL-190","auto-validated","8","EX-068","corpus/inw/book2/ch02_v3.5.md","2","credit-close"
"PL-195","auto-validated","8","EX-090","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","credit-close"
"PL-196","auto-validated","8","EX-092","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","credit-close"
"PL-197","auto-validated","8","EX-094","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","credit-close"
"PL-075","auto-validated","8","EX-033","corpus/inw/book1/ch06_v5.1.md","3","credit-close"
"PL-076","auto-validated","8","EX-033","corpus/inw/book1/ch06_v5.1.md","4","credit-close"
